"臓器","分類","カテゴリ","サブカテゴリ","疾患","UID","H28対応項目","修正案(20220318)","コメント(20220318)","重要(20220318)","診断","治療","教育","予防","作成時(20220316コメント)","修正案(20220316)","パフォーマンス"
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","骨髄増殖性疾患","真性赤血球増加症","JlvnlaQ","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","骨髄増殖性疾患","本態性血小板血症","JlvnlaU","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","骨髄増殖性疾患","原発性骨髄線維症","Jlvnlac","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","","慢性リンパ性白血病","Jlvnlag","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","","リンパ増殖性疾患","Jlvnlao","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","割愛候補：漠然としている。生坂","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","","成人T 細胞白血病","Jlvnlas","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","Hodgkinリンパ腫","Jlvnla0","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","濾胞性リンパ腫","Jlvnla4","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","びまん性大細胞型B細胞リンパ腫","JlvnlbA","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","末梢T細胞性リンパ腫","JlvnlbI","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","Burkittリンパ腫","JlvnlbM","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","MALTリンパ腫","JlvnlbU","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","","多発性骨髄腫","JlvnlbY","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","","マクログロブリン血症","Jlvnlbg","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","","意義不明の単クローン性免疫グロブリン症〈MGUS〉　※腫瘍の項目にも掲載","Jlvnlbk","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","その他の重要な造血系疾患","","無顆粒球症","Jlvnlbs","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","その他の重要な造血系疾患","","血球貪食症候群（血球貪食性リンパ組織球症）","Jlvnlbw","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","その他の重要な造血系疾患","","移植片対宿主病（GVHD）","Jlvnlb4","","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","","脳出血","JlvnlcA","D-02-04-01-01","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","","くも膜下出血","JlvnlcE","D-02-04-01-01","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","","頭蓋内血腫","JlvnlcM","D-02-04-01-01","","割愛候補：脳出血、硬膜下血腫、硬膜外血腫のいずれかにほぼ収束可能。生坂","","","","","","","",""
"神経系","疾患・病態","脳血管障害","","脳梗塞","JlvnlcQ","D-02-04-01-01","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","","一過性脳虚血発作","JlvnlcY","D-02-04-01-01","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","","脳動脈瘤","Jlvnlcg","D-02-04-01-01","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","","脳動静脈奇形","Jlvnlck","D-02-04-01-01","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","","もやもや病","Jlvnlcs","D-02-04-01-01","","","","","","","","","",""
"神経系","疾患・病態","感染性・炎症性疾患・脱髄性疾患","","脳炎・髄膜炎","Jlvnlcw","D-02-04-03-01,D-02-04-03-02","","","","","","","","","",""
"神経系","疾患・病態","感染性・炎症性疾患・脱髄性疾患","","脳症","Jlvnlc4","D-02-04-03-01,D-02-04-03-02","","","","","","","","","",""
"神経系","疾患・病態","感染性・炎症性疾患・脱髄性疾患","","脳膿瘍","Jlvnlc8","D-02-04-03-01,D-02-04-03-02","","","","","","","","","",""
"神経系","疾患・病態","感染性・炎症性疾患・脱髄性疾患","","多発性硬化症","JlvnldE","D-02-04-03-01,D-02-04-03-02","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","認知症","Alzheimer型","JlvnldM","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","認知症","Lewy小体型","JlvnldQ","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","認知症","脳血管性","JlvnldY","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","","Parkinson病","Jlvnldc","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","","筋萎縮性側索硬化症","Jlvnldk","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","","多系統萎縮症","Jlvnldo","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","ニューロパチー","栄養障害","Jlvnldw","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","ニューロパチー","中毒","Jlvnld0","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","ニューロパチー","遺伝性","Jlvnld8","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","","Guillain-Barré症候群","JlvnleA","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","","顔面神経麻痺（Bell麻痺を含む）","JlvnleE","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","","反回神経麻痺","JlvnleI","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","","主な神経痛（三叉・坐骨神経痛）","JlvnleQ","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","","重症筋無力症","JlvnleU","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","","進行性筋ジストロフィー","Jlvnlec","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","","周期性四肢麻痺","Jlvnleg","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","","","","","","","","",""
"神経系","疾患・病態","発作性・機能性・自律神経系疾患","","全般てんかん","Jlvnleo","D-02-04-07-01,D-02-04-08-01","","","","","","","","","",""
"神経系","疾患・病態","発作性・機能性・自律神経系疾患","","局在関連てんかん","Jlvnles","D-02-04-07-01,D-02-04-08-01","","","","","","","","","",""
"神経系","疾患・病態","発作性・機能性・自律神経系疾患","慢性頭痛","片頭痛","Jlvnle0","D-02-04-07-01,D-02-04-08-01","","","","","","","","","",""
"神経系","疾患・病態","発作性・機能性・自律神経系疾患","慢性頭痛","緊張型頭痛","Jlvnle8","D-02-04-07-01,D-02-04-08-01","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","","脳挫傷","JlvnlfA","D-02-04-04-02,D-02-04-04-03","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","","脳震盪","JlvnlfI","D-02-04-04-02,D-02-04-04-03","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","","びまん性軸索損傷","JlvnlfM","D-02-04-04-02,D-02-04-04-03","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","","急性硬膜外血腫","JlvnlfU","D-02-04-04-02,D-02-04-04-03","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","","硬膜下血腫（急性・慢性）","JlvnlfY","D-02-04-04-02,D-02-04-04-03","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","","頭蓋骨骨折","Jlvnlfg","D-02-04-04-02,D-02-04-04-03","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","","頭部外傷後の高次機能障害","Jlvnlfo","D-02-04-04-02,D-02-04-04-03","","","","","","","","","",""
"神経系","疾患・病態","小児領域","","熱性けいれん","Jlvnlfs","D-02-04-09-01,D-02-04-09-02","","","","","","","","","",""
"神経系","疾患・病態","小児領域","","脳性麻痺","Jlvnlf0","D-02-04-09-01,D-02-04-09-02","","","","","","","","","",""
"神経系","疾患・病態","小児領域","","水頭症","Jlvnlf4","D-02-04-09-01,D-02-04-09-02","","","","","","","","","",""
"神経系","疾患・病態","腫瘍性疾患","","※腫瘍の項目を参照","JlvnlgA","D-02-04-10-01","","","","","","","","","",""
"皮膚系","疾患・病態","湿疹・皮膚炎","","湿疹反応（湿疹三角）","JlvnlgE","D-03-04-01-01, ,D-03-04-01-02","","","","","","","","","",""
"皮膚系","疾患・病態","湿疹・皮膚炎","","接触皮膚炎","JlvnlgM","D-03-04-01-01, ,D-03-04-01-02","","","","","","","","","",""
"皮膚系","疾患・病態","湿疹・皮膚炎","","アトピー性皮膚炎","JlvnlgQ","D-03-04-01-01, ,D-03-04-01-02","","","","","","","","","",""
"皮膚系","疾患・病態","湿疹・皮膚炎","","脂漏性皮膚炎","JlvnlgY","D-03-04-01-01, ,D-03-04-01-02","","","","","","","","","",""
"皮膚系","疾患・病態","湿疹・皮膚炎","","貨幣状湿疹","Jlvnlgg","D-03-04-01-01, ,D-03-04-01-02","","","","","","","","","",""
"皮膚系","疾患・病態","湿疹・皮膚炎","","皮脂欠乏性湿疹","Jlvnlgk","D-03-04-01-01, ,D-03-04-01-02","","","","","","","","","",""
"皮膚系","疾患・病態","湿疹・皮膚炎","","自家感作性皮膚炎","Jlvnlgs","D-03-04-01-01, ,D-03-04-01-02","","","","","","","","","",""
"皮膚系","疾患・病態","湿疹・皮膚炎","","うっ滞性皮膚炎）","Jlvnlgw","D-03-04-01-01, ,D-03-04-01-02","","","","","","","","","",""
"皮膚系","疾患・病態","蕁麻疹、紅斑症、紅皮症と皮膚そう痒症","","蕁麻疹","Jlvnlg4","D-03-04-02-01,,D-03-04-02-02,,D-03-04-02-03.,","","","","","","","","","",""
"皮膚系","疾患・病態","蕁麻疹、紅斑症、紅皮症と皮膚そう痒症","","血管性浮腫","Jlvnlg8","D-03-04-02-01,,D-03-04-02-02,,D-03-04-02-03.,","","","","","","","","","",""
"皮膚系","疾患・病態","蕁麻疹、紅斑症、紅皮症と皮膚そう痒症","","多形滲出性紅斑","JlvnlhE","D-03-04-02-01,,D-03-04-02-02,,D-03-04-02-03.,","","","","","","","","","",""
"皮膚系","疾患・病態","蕁麻疹、紅斑症、紅皮症と皮膚そう痒症","","結節性紅斑","JlvnlhI","D-03-04-02-01,,D-03-04-02-02,,D-03-04-02-03.,","","","","","","","","","",""
"皮膚系","疾患・病態","蕁麻疹、紅斑症、紅皮症と皮膚そう痒症","","環状紅斑","JlvnlhQ","D-03-04-02-01,,D-03-04-02-02,,D-03-04-02-03.,","","","","","","","","","",""
"皮膚系","疾患・病態","蕁麻疹、紅斑症、紅皮症と皮膚そう痒症","","紅皮症","JlvnlhU","D-03-04-02-01,,D-03-04-02-02,,D-03-04-02-03.,","","","","","","","","","",""
"皮膚系","疾患・病態","蕁麻疹、紅斑症、紅皮症と皮膚そう痒症","","皮膚そう痒症","Jlvnlhc","D-03-04-02-01,,D-03-04-02-02,,D-03-04-02-03.,","","","","","","","","","",""
"皮膚系","疾患・病態","紫斑・皮膚血流障害","","紫斑（単純性・老人性）","Jlvnlhk","D-03-04-03-01","","","","","","","","","",""
"皮膚系","疾患・病態","紫斑・皮膚血流障害","皮膚血流障害","血栓性静脈炎","Jlvnlho","D-03-04-03-01","","","","","","","","","",""
"皮膚系","疾患・病態","紫斑・皮膚血流障害","皮膚血流障害","網状皮斑","Jlvnlhw","D-03-04-03-01","","","","","","","","","",""
"皮膚系","疾患・病態","薬疹・薬物障害","","固定薬疹","Jlvnlh0","D-03-04-04-01, D-03-04-04-02","","","","","","","","","",""
"皮膚系","疾患・病態","薬疹・薬物障害","","Stevens-Johnson症候群","Jlvnlh8","D-03-04-04-01, D-03-04-04-02","","","","","","","","","",""
"皮膚系","疾患・病態","薬疹・薬物障害","","中毒性表皮壊死症（TEN）","JlvnliA","D-03-04-04-01, D-03-04-04-02","","割愛候補：Stevens-Johnson症候群の重症型と一言触れるだけで十分。病態としての独立性の乏しいし、治療の方向性も同等。生坂","","","","","","","",""
"皮膚系","疾患・病態","薬疹・薬物障害","","薬剤性過敏症症候群（DIHS）","JlvnliI","D-03-04-04-01, D-03-04-04-02","","","","","","","","","",""
"皮膚系","疾患・病態","水疱症と膿疱","自己免疫性水疱症","天疱瘡","JlvnliQ","D-03-04-05-01, D-03-04-05-02, D-03-04-05-03","","","","","","","","","",""
"皮膚系","疾患・病態","水疱症と膿疱","自己免疫性水疱症","水疱性類天疱瘡","JlvnliU","D-03-04-05-01, D-03-04-05-02, D-03-04-05-03","","","","","","","","","",""
"皮膚系","疾患・病態","水疱症と膿疱","膿疱症","掌蹠膿疱症","Jlvnlic","D-03-04-05-01, D-03-04-05-02, D-03-04-05-03","","","","","","","","","",""
"皮膚系","疾患・病態","水疱症と膿疱","膿疱症","膿疱性乾癬","Jlvnlig","D-03-04-05-01, D-03-04-05-02, D-03-04-05-03","","","","","","","","","",""
"皮膚系","疾患・病態","乾癬と角化症","","尋常性乾癬","Jlvnlio","D-03-04-06-01,D-03-04-06-02,","","","","","","","","","",""
"皮膚系","疾患・病態","乾癬と角化症","","扁平苔癬","Jlvnlis","D-03-04-06-01,D-03-04-06-02,","","","","","","","","","",""
"皮膚系","疾患・病態","乾癬と角化症","","Gibert 薔薇色粃糠疹","Jlvnli0","D-03-04-06-01,D-03-04-06-02,","","","","","","","","","",""
"皮膚系","疾患・病態","乾癬と角化症","","魚鱗癬脂漏性角化症","Jlvnli4","D-03-04-06-01,D-03-04-06-02,","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","","伝染性膿痂疹","JlvnljA","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","","せつ・癰","JlvnljE","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","","毛嚢炎","JlvnljM","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","","ひょう疽","JlvnljQ","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","","丹毒","JlvnljY","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","",""
"皮膚系","疾患・病態","皮膚感染症","","ブドウ球菌性熱傷様皮膚症候群","Jlvnljg","D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06","","","","","","","","","",""
